,hub_overlap,community_similarity,transition_period
2015-12_2016-04,0.041734860883797055,0.0020394289598912306,2015-12→2016-04
2016-04_2016-05,0.06742485783915515,0.011499336576735958,2016-04→2016-05
2016-05_2016-09,0.03798449612403101,0.008130081300813009,2016-05→2016-09
2016-09_2016-10,0.05018450184501845,0.008717948717948718,2016-09→2016-10
2016-10_2016-11,0.05355064027939464,0.00402488108305891,2016-10→2016-11
2016-11_2016-12,0.03939393939393939,0.007321537522879805,2016-11→2016-12
2016-12_2017-01,0.046245919477693145,0.007809726659566915,2016-12→2017-01
2017-01_2017-04,0.03778040141676505,0.00772573635924674,2017-01→2017-04
2017-04_2017-05,0.04088397790055249,0.006097560975609756,2017-04→2017-05
2017-05_2017-08,0.03776595744680851,0.00686106346483705,2017-05→2017-08
2017-08_2017-09,0.05052878965922444,0.004130524576621231,2017-08→2017-09
2017-09_2017-10,0.04149377593360996,0.004901960784313725,2017-09→2017-10
2017-10_2018-01,0.03532467532467533,0.0076611086074808476,2017-10→2018-01
2018-01_2018-02,0.049440847557386695,0.012703453751488685,2018-01→2018-02
2018-02_2018-03,0.04833512352309345,0.005749329244921426,2018-02→2018-03
2018-03_2018-04,0.046800947867298576,0.01072041166380789,2018-03→2018-04
2018-04_2018-08,0.03023758099352052,0.004617414248021108,2018-04→2018-08
2018-08_2018-10,0.04006410256410257,0.004790419161676647,2018-08→2018-10
